occupation_code,group_code,occupation_name,description,status
0110,011,ทหารชั้นสัญญาบัตร,"ปฏิบัติงานเกี่ยวกับการเป็นผู้นำและผู้จัดการหน่วยงานต่างๆ ในองค์การ และ/หรือปฏิบัติงานที่
คล้ายกันกับงานของพลเรือนภายนอกกองกำลังทหาร รวมถึงสมาชิกทั้งหมดของทหารที่มียศ
ร้อยตรี (หรือเทียบเท่า) หรือสูงกว่า ผู้ประกอบอาชีพที่จัดประเภทไว้ในหมวดย่อยนี้ส่วนใหญ่
ต้องมีทักษะในระดับที่ 4 ตามระดับทักษะของ ISCO
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? นายทหารชั้นสัญญาบัตร
? พลเอก
? พลอากาศจัตวา
? จอมพลอากาศ
? นายพลจัตวา (กองทัพบก)
? นักเรียนนายร้อยทหาร
? นักบิน (กองทัพอากาศ)
? ร้อยเอก (กองทัพบก)
? นาวาอากาศเอก (กองทัพอากาศ)
? นาวาเอก (กองทัพเรือ)
? พันเอก (กองทัพบก)
? ผู้บัญชาการกองเรือ
? นาวาอากาศโท
? พลอากาศจัตวา
? พลเอก (กองทัพบก)
? นาวาอากาศตรี
? ร้อยโท (กองทัพบก)
? ร้อยตรี (กองทัพบก)
? เรือเอก (กองทัพเรือ)
? เรืออากาศเอก
? พันตรี (กองทัพบก)
? จอมพล
? ว่าที่เรือตรี
? เรืออากาศโท
? เรือตรี (กองทัพเรือ)
ยกเว้น
? ลูกจ้างพลเรือนของหน่วยงานราชการที่มีหน้าที่เกี่ยวข้องกับการป้องกันประเทศ
? ตำรวจ (นอกเหนือจากสารวัตรทหาร)
? ผู้ตรวจการของกรมศุลกากรและสมาชิกของหน่วยงานราชการที่ประจำอยู่ตามชายแดน
หรือหน่วยงานราชการพลเรือนติดอาวุธอื่นๆ
",1
0210,021,ทหารชั้นประทวน,"ปฏิบัติหน้าที่ตามกฎระเบียบของกองทัพและควบคุมกิจกรรมต่างๆ ในกองกำลังที่มอบหมาย
งานให้กับนายทหารในระดับยศอื่นๆ และ/หรือปฏิบัติงานที่คล้ายกันกับงานของพลเรือน
ภายนอกกองกำลังทหาร รวมถึงสมาชิกทั้งหมดของทหารที่มียศสิบเอก พันจ่า และสิบตรี ผู้
ประกอบอาชีพที่จัดประเภทไว้ในหมวดย่อยนี้ส่วนใหญ่ต้องมีทักษะในระดับที่ 2 ตามระดับ
ทักษะของ ISCO
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? พันจ่าเรือ (กองทัพเรือ)
? พันจ่าอากาศ
? สิบเอก (กองทัพบก)
? จ่าสิบเอก
? พันจ่า
ยกเว้น
? ลูกจ้างพลเรือนของหน่วยงานราชการที่มีหน้าที่เกี่ยวข้องกับการป้องกันประเทศ
? ตำรวจ (นอกเหนือจากสารวัตรทหาร)
? ผู้ตรวจการของกรมศุลกากรและสมาชิกของหน่วยงานราชการที่ประจำอยู่ตามชายแดน
หรือหน่วยงานราชการพลเรือนติดอาวุธอื่นๆ
",1
0310,031,ทหารยศอื่นๆ,"ทหารยศอื่นๆ ได้แก่ทหารเกณฑ์และที่ไม่ใช่ทหารเกณฑ์อื่นๆ (ยกเว้นนายทหารชั้นสัญญาบัตร
และนายทหารชั้นประทวน) โดยปฏิบัติงานเฉพาะอย่างในกองทัพ และ/หรือปฏิบัติงานที่
คล้ายกันกับงานของพลเรือนภายนอกกองกำลังทหาร ผู้ประกอบอาชีพที่จัดประเภทไว้ใน
หมวดย่อยนี้ส่วนใหญ่ต้องมีทักษะในระดับที่ 1 ตามระดับทักษะของ ISCO
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? พลทหารอากาศ
? พลทหารท้ายเรือ/สรั่งเรือ
? พลทหารปืนใหญ่
? พลทหารราบ
? ทหารพลร่ม
? พลทหารปืนยาว
? พลทหารเรือ
ยกเว้น
? ลูกจ้างพลเรือนของหน่วยงานราชการที่มีหน้าที่เกี่ยวข้องกับการป้องกันประเทศ
? ตำรวจ (นอกเหนือจากสารวัตรทหาร)
? ผู้ตรวจการของกรมศุลกากรและสมาชิกของหน่วยงานราชการที่ประจำอยู่ตามชายแดน
หรือหน่วยงานราชการพลเรือนติดอาวุธอื่นๆ
",1
1111,111,ผู้บัญญัติกฎหมาย,"ปฏิบัติงานเกี่ยวกับการกำหนด บัญญัติ และกำกับนโยบายของรัฐบาลในระดับประเทศ ภูมิภาค
หรือท้องถิ่น และองค์การที่ดำเนินการเพื่อผลประโยชน์เฉพาะอย่าง รวมถึงร่างกฎหมาย ตรา
กฎหมาย เปลี่ยนแปลงหรือยกเลิกกฎหมาย กฎระเบียบและข้อบังคับสาธารณะต่างๆ และ
พิจารณาเลือกตั้งหรือถอดถอนสมาชิกสภาผู้แทนราษฎร สมาชิกรัฐสภา วุฒิสภา และสมาชิก
ของรัฐบาล
ทำหน้าที่เกี่ยวกับ
? กำกับดูแลหรือมีส่วนร่วมในหน่วยงานด้านกฎหมายและสภาบริหารของรัฐบาลในระดับ
ประเทศ รัฐ ภูมิภาค หรือท้องถิ่น หรือสภานิติบัญญัติ
? กำหนด บัญญัติ และกำกับโยบายของรัฐบาลในระดับประเทศ รัฐ ภูมิภาค หรือท้องถิ่น
? ร่างกฎหมาย ตรากฎหมาย เปลี่ยนแปลงหรือยกเลิกกฎหมาย กฎระเบียบและข้อบังคับ
สาธารณะต่างๆ ภายใต้กรอบของกฎหมายหรือรัฐธรรมนูญ
? สนับสนุนการทำงานของคณะผู้บริหารประเทศหรือคณะกรรมการที่ได้รับการแต่งตั้งอย่าง
เป็นทางการ
? ตรวจสอบเรื่องที่เกี่ยวข้องกับสาธารณชนและส่งเสริมสิทธิประโยชน์ตามรัฐธรรมนูญ
? ร่วมปฏิบัติหน้าที่และประชุมในท้องถิ่นเพื่อให้บริการแก่ชุมชน ทำความเข้าใจกับความ
คิดเห็นส่วนใหญ่ของประชาชน และจัดหาข้อมูลเพื่อใช้ในการวางแผนของรัฐบาล
? เจรจาต่อรองกับผู้บัญญัติกฎหมายอื่นๆ และผู้แทนราษฎรของกลุ่มชนพิเศษเพื่อประนีประนอม
ผลประโยชน์ที่แตกต่างกันให้ลงรอยกัน และกำหนดเป็นนโยบายและข้อตกลง
? เป็นสมาชิกของรัฐบาล สั่งการและกำกับดูแลผู้บริหารระดับสูงและข้าราชการของหน่วยงาน
และตัวแทนภาครัฐบาลในการทำความเข้าใจและดำเนินงานตามนโยบายรัฐบาล
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? นายกรัฐมนตรี
? รัฐมนตรี
? รัฐมนตรีว่าการกระทรวงต่างประเทศ
? สมาชิกสภาผู้แทนราษฎร
? วุฒิสมาชิก
? ผู้ว่าราชการจังหวัด
? สมาชิกสภาเมือง
? นายกเทศมนตรี
",1
1112,111,ข้าราชการระดับอาวุโส,"ปฏิบัติงานเกี่ยวกับการให้คำปรึกษาแนะนำแก่รัฐบาลทางด้านนโยบาย ตรวจสอบการตีความ
และการดำเนินงานตามนโยบายและกฎหมายของรัฐบาลโดยหน่วยงานและตัวแทนภาครัฐ เป็น
ผู้แทนประเทศและปฏิบัติหน้าที่ในนามของประเทศ หรือปฏิบัติงานที่คล้ายกันในองค์ระหว่าง
ประเทศ รวมถึง วางแผน จัดการ กำกับ ควบคุม และประเมินผลการดำเนินงานในภาพรวมของ
หน่วยงานหรือคณะกรรมการภาครัฐในระดับเทศบาลหรือท้องถิ่น ภูมิภาค และประเทศให้
สอดคล้องตามกฎหมายและนโยบายของรัฐบาลและหน่วยงานด้านกฎหมาย
ทำหน้าที่เกี่ยวกับ
? ให้คำปรึกษาแนะนำด้านนโยบายแก่รัฐบาลและผู้บัญญัติกฎหมายทั้งในระดับประเทศ
ภูมิภาค หรือท้องถิ่น
? ให้คำปรึกษาแนะนำในการจัดทำงบประมาณของรัฐบาล กฎหมายและระเบียบข้อบังคับ
รวมถึงการแก้ไข
? กำหนดวัตถุประสงค์ของหน่วยงานภาครัฐให้สอดคล้องตามระเบียบข้อบังคับและนโยบาย
ของรัฐบาล
? กำหนดหรืออนุมัติ และประเมินผลโครงการและขั้นตอนในการดำเนินงานตามนโยบาย
ของรัฐบาลในการประชุมและปรึกษาร่วมกันกับรัฐบาล
? ให้ข้อเสนอแนะ ทบทวน ประเมินผล และอนุมัติเอกสาร สรุป และรายงานที่ได้รับการ
เห็นชอบจากผู้บริการระดับกลางและสมาชิกอาวุโส
? ตรวจสอบให้แน่ใจว่ามีการพัฒนาและนำระบบและขั้นตอนดำเนินงานไปใช้ในการควบคุม
งบประมาณอย่างเหมาะสม
? ประสานงานกิจกรรมต่างๆ กับผู้บริหารของรัฐบาลและข้าราชการระดับอาวุโส
? นำเสนอแก่คณะกรรมาธิการสภานิติบัญญัติหรือคณะกรรมการอื่นๆ ของรัฐบาล ให้เป็นไปตาม
โครงการ นโยบาย และงบประมาณ
? ตรวจสอบการตีความและการดำเนินงานตามนโยบายและระเบียบข้อบังคับของรัฐบาล
โดยหน่วยงานของรัฐ
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? เอกอัครราชทูต
? กงสุลใหญ่
? คณะกรรมการข้าราชการพลเรือน
? ปลัดกระทรวง
? อธิบดีหรือผู้อำนวยการหน่วยงานรัฐบาล
? เลขาธิการ
? ผู้อำนวยการองค์การระหว่างรัฐบาล
? ข้าหลวง
? ผู้บัญชาการตำรวจแห่งชาติ
? จเรตำรวจ
หมายเหตุ
? ผู้บริหารระดับสูงที่เป็นเจ้าของวิสาหกิจ ได้จัดประเภทไว้ในรหัสอาชีพ 1120 (กรรมการ
ผู้จัดการและผู้บริหารระดับสูง)
",1
1113,111,ผู้นําตามประเพณีและหัวหน้าหมู่บ้าน,"ปฏิบัติงานเกี่ยวกับการทำงานในการออกกฎระเบียบ การบริหารจัดการ และงานพิธีการต่างๆ
ซึ่งกำหนดขึ้นโดยประเพณีที่สืบทอดกันมาตั้งแต่โบราณ รวมถึงโดยสิทธิและความรับผิดชอบ
ระหว่างหัวหน้าหมู่บ้านและผู้มีอำนาจในท้องถิ่น ภูมิภาคและประเทศ
ทำหน้าที่เกี่ยวกับ
? จัดสรรการใช้ที่ดินสาธารณะและทรัพยากรอื่นๆ ให้แก่ครัวเรือนในชุมชนหรือหมู่บ้าน
? เก็บรวบรวมหรือแจกจ่ายผลผลิตที่มีเหลือในชุมชนหรือหมู่บ้าน
? แก้ปัญหาความขัดแย้งระหว่างสมาชิกของชุมชนหรือหมู่บ้าน
? ลงโทษสมาชิกของชุมชนหรือหมู่บ้านที่ละเมิดกฎข้อบังคับและประเพณี
? ทำหน้าที่ในงานพิธีต่างๆ ที่เกี่ยวข้องกับการเกิด การแต่งงาน การตาย การเก็บเกี่ยว และ
โอกาสสำคัญอื่นๆ
? เป็นตัวแทนของชุมชนหรือหมู่บ้านในเทศบาลท้องถิ่นหรือเทศบาลเขต
? ให้ข้อมูลแก่ชุมชนหรือหมู่บ้านเกี่ยวกับกฎหมายและระเบียบข้อบังคับของรัฐบาล
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? ผู้ใหญ่บ้าน
? กำนัน
? หัวหน้าหมู่บ้าน
",1
1114,111,เจ้าหน้าที่ระดับอาวุโสขององค์การที่ดําเนินการเพื่อผลประโยชน์เฉพาะอย่าง,"ปฏิบัติงานเกี่ยวกับการกำหนด จัดทำ และกำกับดูแลการดำเนินงานให้เป็นไปตามนโยบายของ
องค์การที่ดำเนินการเพื่อผลประโยชน์เฉพาะอย่าง เช่น พรรคการเมือง สหภาพแรงงาน องค์การ
นายจ้าง สมาคมการค้าและอุตสาหกรรม องค์การด้านมนุษยธรรมหรือการกุศล หรือสมาคม
กีฬา และตัวแทนและปฏิบัติหน้าที่ในนามขององค์การ
ทำหน้าที่เกี่ยวกับ
? กำหนดและจัดทำนโยบาย กฎระเบียบข้อบังคับ และข้อกำหนดขององค์การ
? วางแผน ควบคุม และประสานการทำงานทั่วไปขององค์การ
? ทบทวนการปฏิบัติงานและผลลัพธ์ขององค์การ และรายงานต่อคณะกรรมการบริหารและ
คณะรัฐบาล สมาชิกขององค์การ และตัวแทนมูลนิธิ
? เจรจาในฐานะตัวแทนขององค์การ สมาชิกขององค์การ และกลุ่มที่ดำเนินการเพื่อ
ผลประโยชน์เฉพาะอย่างที่เกี่ยวข้อง
? ให้การสนับสนุนสิทธิประโยชน์ของต่างๆ ขององค์การ สมาชิกขององค์การ และกลุ่มที่
ดำเนินการเพื่อผลประโยชน์เฉพาะอย่างที่เกี่ยวข้อง ต่อผู้บัญญัติกฎหมาย ภาครัฐ และ
ประชาชนทั่วไป
? วางแผน จัดการ และควบคุมหน่วยต่างๆ ในองค์การที่เกี่ยวข้องกับดำเนินงานตามนโยบาย
โครงการ กฎระเบียบ และข้อบังคับขององค์การ
? ตรวจสอบให้แน่ใจว่ามีการพัฒนาและนำระบบและขั้นตอนดำเนินงานไปใช้ในการ
ควบคุมงบประมาณอย่างเหมาะสม
? ติดตามและประเมินผลการทำงานขององค์การหรือวิสาหกิจ โดยเปรียบเทียบกับวัตถุประสงค์
และนโยบายที่กำหนดขึ้น
? เป็นตัวแทนขององค์การในโอกาสและการประชุมคณะกรรมการอย่างเป็นทางการในการ
เจรจา ประชุม ประชาพิจารณ์ และการเสวนา
",1
1120,112,กรรมการผู้จัดการและผู้บริหารระดับสูง,"ปฏิบัติงานเกี่ยวกับการกำหนดและทบทวนนโยบายและแผนงาน ควบคุม ประสานงาน และ
ประเมินผลการดำเนินงานในภาพรวมของวิสาหกิจหรือองค์การ (ยกเว้น องค์การที่ดำเนินการ
เพื่อผลประโยชน์เฉพาะอย่างและหน่วยงานของภาครัฐ) โดยมีผู้จัดการอื่นๆ คอยสนับสนุนการ
ทำงาน ซึ่งโดยปกติจะดำเนินการภายใต้แนวทางที่กำหนด โดยคณะกรรมการบริหารหรือ
องค์การกำกับดูแลการทำงาน โดยจะต้องเป็นผู้ที่สามารถตอบข้อซักถามเกี่ยวกับการปฏิบัติงาน
และผลลัพธ์การดำเนินงานได้
ทำหน้าที่เกี่ยวกับ
? วางแผน ควบคุม และประสานหน้าที่การทำงานทั่วไปของวิสาหกิจหรือองค์การ
? ทบทวนการปฏิบัติงานและผลการดำเนินงานของวิสาหกิจหรือองค์การ และนำเสนอ
รายงานแก่คณะกรรมการบริหารและองค์การกำกับดูแลการทำงาน
? กำหนดวัตถุประสงค์ กลยุทธ์ นโยบาย และโครงการสำหรับวิสาหกิจหรือองค์การ
? กำกับและบริหารวิสาหกิจและองค์การในภาพรวม
? กำหนดและจัดการงบประมาณ และควบคุมค่าใช้จ่าย และตรวจสอบให้แน่ใจว่าการใช้
ทรัพยากรเป็นไปอย่างมีประสิทธิภาพ
? มีอำนาจในการตัดสินใจใช้ทรัพยากร บุคคลากร และงบประมาณเพื่อดำเนินนโยบายและ
โครงการต่างๆ
? ติดตามและประเมินผลการทำงานขององค์การหรือวิสาหกิจ โดยเปรียบเทียบกับ
วัตถุประสงค์และนโยบายที่กำหนดขึ้น
? ปรึกษาหารือกับผู้ปฏิบัติงานอาวุโสที่อยู่ใต้บังคับบัญชา และทบทวนข้อเสนอแนะและ
รายงานต่างๆ
? เป็นตัวแทนขององค์การในโอกาสและการประชุมคณะกรรมการอย่างเป็นทางการ ในการ
เจรจา ประชุม ประชาพิจารณ์ และการเสวนา
? คัดเลือกหรือให้การอนุมัติเพื่อคัดเลือกผู้ปฏิบัติงานระดับอาวุโส
? ตรวจสอบให้แน่ใจว่าองค์การได้ปฏิบัติตามกฎระเบียบและข้อบังคับที่เกี่ยวข้อง
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? ผู้บริหารระดับสูง
? กรรมการผู้จัดการ (MD)
? ผู้จัดการระดับภูมิภาค
หมายเหตุ
? ผู้จัดการระดับภูมิภาคและผู้จัดการอาวุโส ทำหน้าที่ประสานงานและควบคุมการทำงาน
ของผู้จัดการที่อยู่ใต้บังคับบัญชาซึ่งมีหน้าที่ความรับผิดชอบที่หลากหลาย ได้จัดประเภท
ไว้ในรหัสอาชีพ 1120 (กรรมการผู้จัดการและผู้บริหารระดับสูง)
? ผู้จัดการที่รับผิดชอบในการทำงานเฉพาะด้านในเขตพื้นที่เฉพาะไม่จัดไว้ในรหัสอาชีพนี้
เช่น ผู้จัดการด้านการขายประจำเขต ได้จัดประเภทไว้ในรหัสอาชีพ 1221 (ผู้จัดการด้าน
การขายและการตลาด)
? อาชีพที่มีหน้าที่รับผิดชอบหลักในการร่วมเป็นสมาชิกของคณะกรรมการบริหารของ
วิสาหกิจหรือองค์การตั้งแต่หนึ่งแห่งหรือมากกว่า ได้จัดประเภทไว้ในรหัสอาชีพ 1120
(กรรมการผู้จัดการและผู้บริหารระดับสูง)
? ผู้บริหารระดับสูงของภาครัฐซึ่งเป็นเจ้าของวิสาหกิจ ได้จัดประเภทไว้ในรหัสอาชีพ 1120
(กรรมการผู้จัดการและผู้บริหารระดับสูง)
",1
1211,121,ผู้จัดการด้านการเงิน,"ปฏิบัติงานเกี่ยวกับการวางแผน ควบคุม และประสานการดำเนินการด้านการเงินของวิสาหกิจ
หรือองค์การ โดยปรึกษาหารือร่วมกับผู้จัดการระดับอาวุโสและผู้จัดการแผนกหรือส่วนอื่นๆ
หรือของวิสาหกิจที่ให้บริการทางการเงินแก่วิสาหกิจและหน่วยงานอื่น
ทำหน้าที่เกี่ยวกับ
? วางแผน ควบคุม และประสานการดำเนินงานด้านการเงินของวิสาหกิจหรือองค์การ
? ประเมินสถานการณ์ทางการเงินของวิสาหกิจหรือองค์การ จัดทำงบประมาณและตรวจสอบ
การดำเนินการทางการเงิน
? ปรึกษาหารือกับผู้บริหารระดับสูงและผู้จัดการแผนกหรือส่วนงานอื่นๆ
? กำหนดและจัดการงบประมาณ และควบคุมค่าใช้จ่าย และตรวจสอบให้แน่ใจว่าการใช้
ทรัพยากรเป็นไปอย่างมีประสิทธิภาพ
? กำหนดและควบคุมขั้นตอนการดำเนินงานและการบริหารจัดการ
? วางแผนและควบคุมการปฏิบัติงานประจำวัน
? ควบคุมการคัดเลือก การฝึกอบรม และการปฏิบัติงานของพนักงาน
? เป็นตัวแทนของวิสาหกิจหรือองค์การในการติดต่อกับหน่วยงานอื่น
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? ผู้จัดการด้านบริหารจัดการ
? เลขานุการบริษัท1/
? ผู้จัดการฝ่ายการเงิน
ยกเว้น
? ผู้จัดการสาขาสถาบันการเงิน ได้จัดประเภทไว้ในรหัสอาชีพ 1346
? เจ้าหน้าที่ควบคุมระบบการเงิน ได้จัดประเภทไว้ในรหัสอาชีพ 2411
? นักบัญชีบริหาร ได้จัดประเภทไว้ในรหัสอาชีพ 2411
",1
1212,121,ผู้จัดการด้านทรัพยากรบุคคล,"ปฏิบัติงานเกี่ยวกับการวางแผน ควบคุม และประสานงานด้านนโยบายที่เกี่ยวข้องกับการ
ดำเนินงานด้านบุคลากร การบริหารแรงงานสัมพันธ์ และการดำเนินงานด้านอาชีวอนามัยและ
ความปลอดภัยของวิสาหกิจหรือองค์การ หรือของวิสาหกิจที่ให้บริการด้านทรัพยากรบุคคลแก่
วิสาหกิจและองค์การอื่น
ทำหน้าที่เกี่ยวกับ
? วางแผน ควบคุม และประสานกิจกรรมด้านทรัพยากรบุคคลและกิจกรรมแรงงานสัมพันธ์
นโยบายและการปฏิบัติงานของวิสาหกิจหรือองค์การ
? วางแผนและจัดการขั้นตอนการสรรหา ฝึกอบรม เลื่อนตำแหน่ง โอนย้าย และปลด
พนักงาน
? วางแผนและจัดการการเจรจา ขั้นตอนในการกำหนดโครงสร้าง และระดับอัตราเงินเดือน
รวมถึงให้คำปรึกษาแนะนำแก่ผู้ปฏิบัติงานเกี่ยวกับเงื่อนไขการจ้างงาน
? ตรวจสอบโครงการและกิจกรรมด้านความปลอดภัย สุขภาพ และอื่นๆ ที่เกี่ยวข้อง
? กำหนดและจัดการงบประมาณ และควบคุมค่าใช้จ่าย และตรวจสอบให้แน่ใจว่าการใช้
ทรัพยากรเป็นไปอย่างมีประสิทธิภาพ
? กำหนดและควบคุมขั้นตอนการดำเนินงานและการบริหารจัดการ
? ตรวจสอบการพัฒนาและการดำเนินการระบบจัดการข้อมูลสารสนเทศ
? ตรวจสอบให้แน่ใจว่าได้ปฏิบัติตามมาตรฐานและกฎระเบียบข้อบังคับที่เกี่ยวข้องกับสิทธิ
ของลูกจ้าง สุขภาพและความปลอดภัยในการปฏิบัติงาน และโอกาสทางหน้าที่การงานที่
เท่าเทียมกัน และที่เกี่ยวข้อง
? ควบคุมการคัดเลือก การฝึกอบรม และการปฏิบัติงานของพนักงานเพื่อวิสาหกิจหรือ
องค์การทั้งหมด
? ปรึกษาหารือกับผู้บริหารระดับอาวุโสและผู้จัดการแผนกอื่นๆ
? เป็นตัวแทนของวิสาหกิจหรือองค์การในการติดต่อกับหน่วยงานภายนอกอื่นๆ
ตัวอย่างอาชีพในรหัสอาชีพนี้ ได้แก่
? ผู้จัดการฝ่ายแรงงานสัมพันธ์
? ผู้จัดการฝ่ายทรัพยากรบุคคล
? ผู้จัดการฝ่ายสรรหาบุคลากร
",1
